"","�..user_id","status_id","created_at","screen_name","text","lang","location","lat","lng","GoogleMapsLocation","country","zip","state","daniel","priyanka","florian","dario","mean","daniel_c","priya_c","florian_c","dario_c","mode_c","VADER","Syuzhet","VADERclass","Syuzhetclass","mean_c"
"1",739065966,1374118055010263040,"2021-03-22 21:57:28","Pro_Nuke","President-elect Joe Biden, December 3: “Just 100 days to mask, not forever. One hundred days.”","en","Wisconsin, USA",44.095598,-87.6877965,"554 S 32nd St, Manitowoc, WI 54220, USA","USA",54220,"WI",0,0,1,0,0.25,"Neutral","Neutral","Positive","Neutral","Neutral",0,0,"Neutral","Neutral","Neutral"
"2",734192770664009728,1374117859861929984,"2021-03-22 21:56:42","ScottWa91433575","Pictures from this weekend children in cages at the border spreading CV19 .The Biden administration they are hypocrites. These pictures had to be sneaked out by a democratic lawmaker because the Press is not allowed to cover this. https://t.co/hiReob0uKN","en","Apollo Beach, FL",27.8230765,-82.369663,"12214 Citrus Leaf Dr, Gibsonton, FL 33534, USA","USA",33534,"FL",-5,-5,-5,-5,-5,"Negative","Negative","Negative","Neutral","Negative",0,-1,"Neutral","Negative","Negative"
"3",1500238717,1374117109366673408,"2021-03-22 21:53:43","carole_wmajors","@KwikWarren Unlike all the other presidents elect President Biden was never given his right to American Intel in view of this I think he’s doing a phenomenal job!","en","Red Bank, SC",33.9207506,-81.226576,"146 Country Oak Rd, Lexington, SC 29073, USA","USA",29073,"SC",4,4,5,5,4.5,"Positive","Positive","Positive","Positive","Positive",0,2.4,"Neutral","Positive","Positive"
"4",515878187,1374117319237115904,"2021-03-22 21:54:33","TsarNicholas54","everyday joe biden wakes up and pulls a lever that says “make gas more expensive” conservatives on facebook are the only ones who have figured this out","en","Jefferson Diner",41.1179365,-77.604684,"Unnamed Road, Beech Creek, PA 16822, USA","USA",16822,"PA",-3,-2,-4,2,-1.75,"Negative","Negative","Negative","Positive","Negative",0,-0.25,"Neutral","Neutral","Negative"
"5",906093331398230016,1374117070439383040,"2021-03-22 21:53:34","grooms_terry","@Jim_Jordan Dictator Biden Restricting Freedom of the Press opening borders on his own...this is Outrageous","en","Myrtle Beach, SC",33.67284555,-78.9946395,"616 Cavandish Dr, Myrtle Beach, SC 29588, USA","USA",29588,"SC",-5,-3,-3,-5,-4,"Negative","Negative","Negative","Neutral","Negative",-0.103,-1.35,"Neutral","Negative","Negative"
"6",1126354896607793152,1374079296822644736,"2021-03-22 19:23:28","miikaelllaa","✔️ In Feb. we saw ~100,000 undocumented immigrant encounters. 
✔️ @CBP said March is on track to have the highest encounters. 

MONDAY SCOOP: Biden admin will open a TX migrant facility to hold 2,000 unaccompanied children. This is the 4th influx facility HHS will open.  @BoldTV https://t.co/4XzEzwLFy8","en","Washington, DC",32.8100122,-117.10498915,"3506 Sunbird Way, San Diego, CA 92124, USA","USA",92124,"CA",-1,-1,-2,-2,-1.5,"Negative","Negative","Negative","Neutral","Negative",0.677,-0.6,"Positive","Negative","Negative"
"7",1923819224,1374116624689684480,"2021-03-22 21:51:47","pamela_dahl","@Guadalu46442814 @JohnnyBlkshrt I love Biden calm.","en","Houston, TX",29.7219891,-95.77871135,"3650 Hollow Trace Ln, Katy, TX 77494, USA","USA",77494,"TX",4,4,3,3,3.5,"Positive","Positive","Positive","Positive","Positive",0.758,1.5,"Positive","Positive","Positive"
"8",1053989562,1374104676543643648,"2021-03-22 21:04:19","rparedes_11","@gabincenzo @Emi_26xD @MeisLee12345 @brfootball @JoeBiden Im sorry, unless you want to count those like Elizabeth Warren as Native American generally full blooded native americans still live on reservations. Its messed up but its reality.","en","TX✈️NH",43.136662,-70.9287375,"10 Garrison Ave, Durham, NH 03824, USA","USA",3824,"NH",-1,-2,-2,-1,-1.5,"Negative","Negative","Negative","Neutral","Negative",0.013,-0.5,"Neutral","Neutral","Negative"
"9",46402897,1374116135960911872,"2021-03-22 21:49:51","DancesWithRain","The U.S. on Friday cleared President Joe Biden’s goal of injecting 100 million coronavirus shots, more than a month before his target date of his 100th day in office, as the president prepared to set his sights higher in the nationwide vaccination effort.
https://t.co/S248ft2gyU","en","📍Seattle, WA - Pluviophile💧",47.6148172,-122.3306024,"1621 Boren Ave, Seattle, WA 98101, USA","USA",98101,"WA",2,1,1,2,1.5,"Positive","Positive","Positive","Positive","Positive",0.318,1,"Neutral","Positive","Positive"
"10",1241915649531604992,1374116122459480064,"2021-03-22 21:49:48","Alan94746262","whats happening Biden u got the Gold u make the rules lol i got the fort knox Gold bitch u got 45% votes currupt election i got proof show u won election Trump was robbed","en","",35.1170026,-106.6327181,"3615 High St NE, Albuquerque, NM 87107, USA","USA",87107,"NM",-4,-5,-5,-5,-4.75,"Negative","Negative","Negative","Neutral","Negative",0.502,-1.1,"Positive","Negative","Negative"
"11",2179951,1374115638214557696,"2021-03-22 21:47:52","wlabovitz","Biden Team Preparing Up to $3 Trillion in New Spending for the Economy https://t.co/iqiu6UMHGn","en","Robinson Township, PA",40.4313888,-79.98068965,"18 S 18th St, Pittsburgh, PA 15203, USA","USA",15203,"PA",0,0,0,0,0,"Neutral","Neutral","Neutral","Neutral","Neutral",0,0.8,"Neutral","Positive","Neutral"
"12",125632328,1374114196456103936,"2021-03-22 21:42:08","Sylvaners","Trump-appointed Social Security Administration officials test Biden ability to forge new agenda https://t.co/pPBTJKXzQa via @YahooNews","en","Joliet, IL",41.51955585,-88.1425115,"2424 W Jefferson St, Joliet, IL 60435, USA","USA",60435,"IL",0,0,0,0,0,"Neutral","Neutral","Neutral","Neutral","Neutral",0.572,1.3,"Positive","Positive","Neutral"
"13",702123944,1374115539619041280,"2021-03-22 21:47:29","rodneyawarren","So was it the wind blowing or did the earth move in a violent fashion when #Biden fell up the steps?","en","Savannah,Ga.",31.94007405,-81.3148992,"521 Edsel Dr, Richmond Hill, GA 31324, USA","USA",31324,"GA",-1,-1,-2,-1,-1.25,"Negative","Negative","Negative","Neutral","Negative",-0.599,-1.25,"Negative","Negative","Negative"
"14",1360716220237033472,1374115538885050368,"2021-03-22 21:47:28","pro_life_rep","@JohnCollins_KP That's because Biden is an adult.","en","Ohio",41.0550136,-83.6339035,"915 Milton St, Findlay, OH 45840, USA","USA",45840,"OH",0,0,0,2,0.5,"Neutral","Neutral","Neutral","Positive","Neutral",0,0,"Neutral","Neutral","Neutral"
"15",312648154,1374115468324204544,"2021-03-22 21:47:12","ceciprd","Biden, the so called President could have kept the WALL CLOSED....Photos of crowded migrant holding center in Texas released by Democratic congressman

https://t.co/hhVRqtAwvP","en","",33.607129,-117.728415,"23081 Via Campo Verde, Laguna Woods, CA 92637, USA","USA",92637,"CA",-2,-2,-3,-3,-2.5,"Negative","Negative","Negative","Neutral","Negative",0,-0.35,"Neutral","Neutral","Negative"
"16",2607065779,1374115268121686016,"2021-03-22 21:46:24","JonFromSeattle","So pro Biden supporters went to the border, handed out Biden Flags and Shirts, and told migrants Biden will let you in? Yeah, I could see that totally happening. https://t.co/BcNagKSdC6","en","Washington, USA",47.48518545,-122.1100236,"17225 SE 128th St, Renton, WA 98059, USA","USA",98059,"WA",-2,-2,-3,-2,-2.25,"Negative","Negative","Negative","Neutral","Negative",0.656,0.8,"Positive","Positive","Negative"
"17",50170133,1374115001749925888,"2021-03-22 21:45:20","corrydiehl","Media: trump is ruining everything
People: but... Biden is “president”
Media: stfu
Bee stings person: WHITE SUPREMECY!!!!!
Pretty day outside: WHITE SUPREMICIST CLOUDS
Internet goes out: WHITE SUPREMECY

You all are fucking idiots","en","Georgia",32.6782075,-83.1738665,"Stuckey Rd 108, Danville, GA 31017, USA","USA",31017,"GA",0,-4,-3,-3,-2.5,"Neutral","Negative","Negative","Neutral","Negative",0.716,-1.2,"Positive","Negative","Negative"
"18",97273575,1374114874708652032,"2021-03-22 21:44:50","Clarknt67","@eviebauer727 @garrettsuth20 @BuzzFeedNews Ok. But Trump is not in charge anymore. This guy is: https://t.co/qTZnhPsGQO","en","Brooklyn, Baby!",40.655138,-73.9487755,"326 Clarkson Ave, Brooklyn, NY 11226, USA","USA",11226,"NY",-3,0,-2,0,-1.25,"Negative","Neutral","Negative","Neutral","Negative",0.178,-0.1,"Neutral","Neutral","Negative"
"19",1287079370193014784,1374114591765106688,"2021-03-22 21:43:43","bible_here","@D_Moynihan Of course, isn’t that the Biden’s MO? 😂","en","",38.428635,-81.7725275,"5322 Bentbrook Rd, Charleston, WV 25313, USA","USA",25313,"WV",0,1,0,0,0.25,"Neutral","Positive","Neutral","Neutral","Neutral",0,0,"Neutral","Neutral","Neutral"
"20",1107097248,1374114513025331200,"2021-03-22 21:43:24","RCCH3","Impeach joe biden. Purposely endangering American citizens with his unlawful immigration policy is grounds for impeachment.","en","",47.27302215,-120.882482,"13610 Teanaway Rd North Fork, Cle Elum, WA 98922, USA","USA",98922,"WA",-5,-3,-5,-5,-4.5,"Negative","Negative","Negative","Neutral","Negative",0,-1.8,"Neutral","Negative","Negative"
"21",850361573113778176,1374114489637994496,"2021-03-22 21:43:18","realtorwayneky","@jAlmz5 With Biden shirts? 🤷‍♂️","en","Paris, KY",38.2025735,-84.2621315,"1559 Main St, Paris, KY 40361, USA","USA",40361,"KY",0,-0.5,0,0,-0.125,"Neutral","Neutral","Neutral","Neutral","Neutral",0,0,"Neutral","Neutral","Neutral"
"22",82437645,1374114429625888768,"2021-03-22 21:43:04","JarrellFMG","Y’all tithing off these Biden bucks and Kamala cash or nah?? 😂😂","en","210, Texas",29.417501,-98.5406515,"3014 Chihuahua St, San Antonio, TX 78207, USA","USA",78207,"TX",0,-1,-2,-1,-1,"Neutral","Negative","Negative","Neutral","Negative",-0.193,0.4,"Neutral","Neutral","Negative"
"23",21711128,1374114337850322944,"2021-03-22 21:42:42","GreekDr","Biden is excited about the “Final Four” .....That is the last four steps when climbing into Air Force One  #BidenFalls","en","New Castle, PA",41.0042615,-80.33466,"605 N Croton Ave, New Castle, PA 16101, USA","USA",16101,"PA",-1,-0.5,-2,-1,-1.125,"Negative","Neutral","Negative","Neutral","Negative",0.34,0.15,"Neutral","Neutral","Negative"
"24",1372148341732036608,1374114105729060864,"2021-03-22 21:41:47","kraft_bev","@JudiciaryGOP This is total BS!!! 
A President’s top responsibility is to keep American Citizen’s SAFE!!!Biden is making us LESS SAFE every day and he is destroying America!!😡😡","en","",47.667438,-117.434547,"1508 W Gardner Ave, Spokane, WA 99201, USA","USA",99201,"WA",-5,-5,-5,-5,-5,"Negative","Negative","Negative","Neutral","Negative",0.533,0,"Positive","Neutral","Negative"
"25",1350270990178254848,1374090834237386752,"2021-03-22 20:09:18","SammySm68603293","@jbclaw @raidermike5569 @JamesOKeefeIII @PressSec What promises did Biden make?","en","",33.13719,-91.989865,"2700 W 4th Ave, Crossett, AR 71635, USA","USA",71635,"AR",0,0,0,0,0,"Neutral","Neutral","Neutral","Neutral","Neutral",0.382,0.5,"Neutral","Neutral","Neutral"
"26",1573107234,1374113850560180224,"2021-03-22 21:40:46","Jeres_Rant","As Republican legislators press President @JoeBiden over a surge of #immigrants at the US-Mexico border, Sen. @JohnCornyn of Texas attacked Biden on Twitter over his admin's ""humane treatment of immigrants."" #Immigration 

https://t.co/jQCHSUuID9 https://t.co/CWO9Spe2sF","en","",34.41563105,-118.5032588,"26468 Carl Boyer Dr, Santa Clarita, CA 91350, USA","USA",91350,"CA",0,0.5,0,1,0.375,"Neutral","Neutral","Neutral","Positive","Neutral",-0.459,-0.75,"Neutral","Negative","Neutral"
"27",66752078,1374113393213382656,"2021-03-22 21:38:57","goleftrightnow","@GOPChairwoman Day 58 of @POTUS actually working for Americans, not Putin, &amp; not just to boost your absurd ego. Trump's a PR guy, @JoeBiden is a real man &amp; a legitimate President. If you can't spot the difference, you belong on Gulag Island w/ the rest of your reality-show lackeys in the @GQP","en","Winter Park, FL",28.6001855,-81.3417295,"312 Trismen Terrace, Winter Park, FL 32789, USA","USA",32789,"FL",4,5,5,3,4.25,"Positive","Positive","Positive","Positive","Positive",-0.309,0.55,"Neutral","Positive","Positive"
"28",1601568144,1374113236874842112,"2021-03-22 21:38:20","kaminski1620","@kayleighmcenany @FoxNews @AmericaRpts @SandraSmithFox @johnrobertsFox Biden can’t handle his own family. So no one should expect him to handle the migrants who he told to come on in to America.","en","",41.79158405,-88.0400015,"2300 Wisconsin Ave UNIT 315, Downers Grove, IL 60515, USA","USA",60515,"IL",-3,-3,-4,-4,-3.5,"Negative","Negative","Negative","Neutral","Negative",-0.36,0.4,"Neutral","Neutral","Negative"
